겁나다	무서워하거나 두려워하는 마음이 들다.
따스하다	정감 있고 부드럽다.
만족하다	기대하거나 필요한 것이 부족함 없거나 마음에 들다.
매력적이다	사람의 마음을 끄는 매력이 있다.
반갑다	보고 싶던 사람을 만나거나 원하는 일이 이루어져서 마음이 즐겁고 기쁘다.
보기 좋다	시각적으로 보기 좋은 느낌을 주다.
뿌듯하다	기쁨이나 감격이 마음에 가득하다.
사랑스럽다	보기에 애틋하고 귀여워서 마음이 끌리다.
상기되다	흥분하거나 부끄러워 얼굴이 붉어지다.
상쾌하다	기분이나 느낌 등이 시원하고 산뜻하다.
상큼하다	냄새나 맛 등이 향기롭고 시원하다.
설레다	마음이 차분하지 않고 들떠서 두근거리다.
속 시원하다	답답함이나 걱정거리가 풀려 마음이 후련하다.
신나다	흥이 나고 기분이 아주 좋아지다.
신명나다	흥겹고 즐거워 기분이 한껏 고조되다.
신바람 나다	즐거움이나 흥으로 기분이 매우 들뜨다.
신선하다	새롭고 산뜻하다.
싱글벙글하다	눈과 입을 슬며시 움직이며 소리 없이 환하게 웃다.
쑥스럽다	하는 짓이나 모양이 자연스럽지 못하거나 어울리지 않아 부끄럽다.
씰룩거리다	화나 억울함, 또는 짓궂은 웃음을 참으려고 하거나 드러낼 때 입이나 얼굴 근육이 가볍게 자꾸 움직이다.
어여쁘다	모습이나 행동이 사랑스럽고 예쁘다.
예쁘다	생긴 모양이 눈으로 보기에 좋을 만큼 아름답다.
우아하다	품위가 있고 아름답다.
웃다	기쁘거나 만족스럽거나 우스울 때 얼굴을 활짝 펴거나 소리를 내다.
웃어넘기다	그냥 웃음으로 지나쳐 보내다.
유쾌하다	즐겁고 상쾌하다.
으쓱하다	감정적으로는 뿌듯하거나 자랑스러운 마음이 들어 어깨를 으쓱거리는 동작을 나타내다.
자부하다	스스로 자신의 가치나 능력을 믿고 떳떳한 마음을 가지다.
재미있다	즐겁고 유쾌한 느낌이 있다.
좋다	어떤 것의 성질이나 내용 등이 훌륭하여 만족할 만하다.
즐겁다	마음에 들어 흐뭇하고 기쁘다.
천만다행이다	매우 운이 좋아서 다행이다.
친근하다	사이가 매우 가깝다.
친숙하다	친하여 익숙하고 허물이 없다.
콩닥거리다	긴장하거나 설레서 심장이 빠르게 뛰는 소리가 나다.
쾌적하다	기분이 상쾌하고 아주 좋다.
통쾌하다	아주 즐겁고 속이 시원하다.
편안하다	몸이나 마음이 편하고 좋다.
행복하다	삶에서 충분한 만족과 기쁨을 느껴 흐뭇하다.
후련하다	거북하거나 좋지 않았던 속이 풀려서 시원하다.
훌륭하다	칭찬할 만큼 매우 좋고 뛰어나다.
흐뭇하다	마음에 들어 매우 만족스럽다.
흡족하다	조금도 모자람이 없을 정도로 넉넉하여 만족하다.
흥겹다	흥이 나서 기분이 좋고 즐겁다.
희희낙락하다	매우 기뻐하고 즐거워하다.
히죽거리다	좋아서 슬쩍 자꾸 웃다.
개운찮다	몸이나 마음 상태가 깔끔하지 않고 불편하다.
겸연쩍다	쑥스럽거나 미안하여 어색하다.
계면쩍다	쑥스럽고 면목이 없어 어색하다.
곤란하다	사정이 몹시 어렵고 난처하다.
기고만장하다	일이 자기 뜻대로 잘되어 뽐내는 기세가 대단하다.
낯간지럽다	쑥스럽거나 어색하여 남 보기에 부끄럽다.
낯뜨겁다	부끄럽거나 창피해서 얼굴이 화끈거리다.
노파심이 들다	지나치게 염려하거나 걱정하는 마음이 생기다.
머쓱하다	무안하거나 어색해서 몸과 마음이 불편하고 쑥스럽다.
멋쩍다	하는 짓이나 모양새가 분위기에 어울리지 않고 엉뚱하다.
무안하다	얼굴을 들지 못할 만큼 수줍거나 창피하다.
민망하다	딱하고 안타깝다.
오그라들다	부끄럽거나 민망한 상황에서 몸이 움츠러들거나 심리적으로 위축되는 느낌을 받다.
쭈뼛거리다	부끄럽거나 주저하는 마음에 망설이며 몸이나 태도가 불안정하게 움직이다.
감탄하다	마음속 깊이 크게 느끼다.
갑작스럽다	어떤 일이 갑자기 일어나 뜻밖이다.
경악하다	좋지 않은 일로 깜짝 놀라다.
경이롭다	놀랍고 신기하다.
곤혹스럽다	곤란한 처지가 되어서 어찌해야 할지 몰라 난처하다.
급작스럽다	어떤 일이 발생한 것이 매우 급하고 빨라서 예상 밖이다.
기겁하다	숨이 막힐 듯이 갑자기 놀라거나 겁에 질리다.
기막히다	어떤 일이 매우 놀랍거나 언짢아서 어이없다.
기묘하다	신기하고 이상하다.
기상천외하다.	생각이나 발상이 매우 기발하고 놀라워서 세상에 드물다.
기이하다	매우 특이하고 이상하다.
기절초풍하다	정신을 잃고 쓰러질 만큼 심하게 놀라다.
기절하다	심하게 놀라거나 충격을 받아 일시적으로 정신을 잃고 쓰러지다.
까무러치다	정신을 잃고 쓰러지다.
난감하다	분명하게 마음을 정하기 어렵다.
놀랍다	감동할 만큼 훌륭하거나 굉장하다.
당혹하다	갑자기 어떤 일을 당하여 정신을 못 차리고 어떻게 해야 할지를 몰라 하다.
당황하다	놀라거나 매우 급하여 어떻게 해야 할지를 모르다.
뜨금하다	갑작스러운 놀람이나 찔림을 느끼다.
뜨악하다	마음에 들지 않거나 꺼림칙하거나 불편하다.
만만찮다	어떤 것이 다루기에 쉽지 않거나 양이 많다.
쇼킹하다	어떤 일이 충격을 받을 정도로 매우 놀랍다.
아연실색하다	얼굴빛이 변할 정도로 몹시 놀라다.
어리둥절하다	일이 돌아가는 상황을 잘 알지 못해서 정신이 얼떨떨하다.
얼떨떨하다	뜻밖의 일로 당황하거나 여러 가지 일이 복잡하여 어찌할 바를 모르는 데가 있다.
움찔하다	깜짝 놀라서 갑자기 몸이 움츠러들다. 또는 몸을 움츠리다.
이상하다	정상적인 것과 다르다.
전율하다	매우 무섭거나 두려워 몸이 떨리다.
철렁하다	갑작스러운 두려움이나 불안, 충격으로 인해 마음이 내려앉는 듯한 느낌을 받다.
충격적이다	강한 놀람이나 정신적 타격을 주는 일이 있다.
휘둥그레지다	놀라거나 무서워서 눈이 크고 둥그렇게 되다.
흠칫하다	몸을 움츠리며 갑자기 놀라다.
가당찮다	전혀 이치에 맞지 않다.
가증스럽다	다른 사람의 말이나 행동이 화가 날 정도로 몹시 밉다.
거지같다	아주 형편없거나 비참하다고 느껴지다.
격노하다	몹시 화를 내다.
격분하다	몹시 화를 내다.
격앙되다	감정이 격렬하게 일어나 흥분하다.
격양되다	기운이나 감정 등이 격하게 일어나게 되다.
격해지다	감정이나 분위기가 강렬하고 격렬해지다.
괘씸하다	기대나 믿음에 어긋나는 못마땅한 행동을 하여 밉살스럽다.
굴욕감 들다	치욕스럽고 수치스러운 느낌이 들다.
기분 나쁘다	유쾌하지 않고 불쾌하다.
노여워하다	몹시 불쾌해하며 화를 내다.
모멸감 들다	경멸당하거나 무시당했다고 느끼는 감정이 들다.
모욕적이다	상대를 업신여기거나 치욕을 주는 데가 있다.
못되다	성질이나 하는 행동이 도덕적으로 나쁘다.
못마땅하다	별로 마음에 들지 않아 꺼림칙하다.
무시당하다	사람이 얕보이거나 하찮게 여겨지다.
밉다	행동이나 태도 등이 마음에 들지 않거나 기분이 나쁜 느낌이 있다.
발칙하다	행동이나 말이 매우 버릇없고 괘씸하다.
복수심 들다	억울함이나 원한으로 상대에게 복수하고 싶은 마음이 생기다.
분개하다	몹시 분하고 화가 나다.
분노하다	몹시 화를 내다.
분통터지다	화나 억울함이 참기 어려울 정도로 치밀다.
분하다	억울한 일을 당하거나 될 듯한 일이 되지 않아서 매우 화가 나다.
불만스럽다	마음에 차지 않아 좋지 않은 느낌이 있다.
불만족하다	마음에 차지 않다.
불유쾌하다	마음이 언짢아 즐겁지 않다.
비딱하다	태도나 성격이 고르지 않고 삐뚤다.
비아냥거리다	자꾸 비웃는 말을 하며 놀리다.
빈정거리다	남을 은근히 비웃으며 자꾸 비꼬는 말을 하거나 놀리다.
뾰루퉁하다	불만이나 삐친 감정이 얼굴에 나타나다.
삐치다	화가 나거나 서운해서 마음이 뒤틀리다.
속썩이다	걱정하거나 괴로워하는 마음을 들게 하다.
수치스럽다	매우 창피하고 부끄럽다.
신경질나다	짜증이 나서 날카로운 반응을 보이다.
심술궂다	남을 괴롭히거나 남이 잘못되기를 바라는 마음이 많다.
심통나다	심술이 나거나 마음이 삐뚤어지다.
씩씩거리다	숨을 매우 가쁘고 거칠게 쉬는 소리가 계속 나다. 또는 그런 소리를 계속 내다.
아니꼽다	하는 말이나 행동이 눈에 거슬려 기분이 좋지 않다.
야박하다	마음이 너그럽지 못하고 인정이 없다.
야비하다	성질이나 행동이 천하고 교활하다.
약오르다	상대의 행동이나 상황 때문에 화가 나거나 억울하게 느껴지다.
얄밉다	다른 사람이 하는 행동이나 말 등이 싫거나 밉다.
어이없다	너무 뜻밖의 일을 당해서 기가 막히는 듯하다.
언짢다	마음에 들지 않거나 기분이 좋지 않다.
울화통 터지다	억울하고 분한 감정이 폭발하다.
원망하다	마음에 들지 않아서 탓하거나 미워하다.
의심스럽다	불확실하여 믿지 못할 만한 데가 있다.
증오하다	몹시 원망하고 미워하다.
진노하다	몹시 화를 내며 노여워하다.
질투하다	다른 사람이 가진 것 또는 사랑받는 대상에 대해 부러움과 시기심을 느끼며 불쾌해하다.
짜증나다	마음이 불쾌하고 거슬리다.
치가 떨리다	분하거나 억울해서 몸이 떨릴 정도로 화나다.
치밀어오르다	화나 분노가 점점 강하게 올라오다.
치욕적이다	몹시 부끄럽고 수치스러운 상태다.
흥분하다	어떤 자극을 받아 감정이 세차게 치밀어 오르다.
가련하다	마음이 아플 정도로 불쌍하다.
가슴 아프다	마음에 슬픔이나 안타까움을 느끼다.
가엾다	마음이 아플 정도로 불쌍하고 딱하다.
가혹하다	감당할 수 없을 만큼 몹시 모질고 심하다.
각박하다	인정이 없고 모질다.
간절하다	정성이나 마음 등이 아주 지극하다.
걱정하다	좋지 않은 일이 있을까 봐 두려워하고 불안해하다.
고달프다	몸이나 처지 또는 하는 일이 몹시 힘들고 어렵다.
고독하다	세상에 혼자 있는 듯이 외롭고 쓸쓸하다.
곤욕스럽다	심한 모욕을 느끼게 하거나 참기 힘들게 하는 데가 있다.
공허하다	아무것도 없이 텅 비다.
괴롭다	몸이나 마음이 편하지 않고 아프고 고통스럽다.
구슬프다	마음이 쓸쓸해질 만큼 슬프다.
그리워하다	매우 보고 싶고 만나고 싶어 하다.
근심스럽다	두렵고 불안하여 마음이 편하지 않다.
글썽글썽하다	눈에 눈물이 곧 흘러내릴 것처럼 자꾸 가득 고이다. 또는 그렇게 하다.
기구하다	살아가는 동안에 불행과 불운이 자주 있다.
기운 없다	몸이나 마음이 지쳐서 힘이 없다.
낙담하다	어떤 일이 바라던 대로 되지 않아 크게 실망하다.
낙망하다	희망을 잃거나 크게 실망하다.
낙심하다	바라던 일이 이루어지지 않아 마음이 상하다.
난처하다	어떻게 행동해야 할지 결정하기 어려운 불편한 상황에 있다.
남부럽다	다른 사람의 좋은 점이나 훌륭한 점이 부럽다.
낭패스럽다	계획한 대로 되지 않거나 기대에 어긋나서 곤란하다.
냉혹하다	성격이 몹시 차갑고 인정이 없다.
눈물겹다	눈물이 날 만큼 애처롭거나 가엾다.
뒤숭숭하다	마음이 불안하고 걱정스럽다.
망막하다	넓고 멀어 아득하다.
망연자실하다	정신이 나간 것처럼 멍하게 행동하다.
먹먹하다	갑자기 귀가 막힌 듯이 소리가 잘 들리지 않다.
뭉클하다	어떤 감정이나 느낌이 매우 강하게 마음에 생겨 가슴에 꽉 차는 느낌이 있다.
미안하다	남에게 잘못을 하여 마음이 편치 못하고 부끄럽다.
복받치다	마음속에서 어떤 감정이나 기운이 조금 세차게 치밀어 오르다.
부끄럽다	쑥스럽거나 수줍다.
불쌍하다	사정이나 형편이 좋지 않아 가엾고 마음이 슬프다.
불행하다	행복하지 않다.
비참하다	견딜 수 없을 정도로 슬프고 끔찍하다.
비탄하다	큰 슬픔이나 절망에 빠져 있다.
비통하다	매우 슬퍼서 마음이 아프다.
뼈저리다	주로 후회나 반성 등의 감정이 뼈에 사무칠 정도로 깊다.
사무치다	마음속 깊이 느껴지다.
상실감 들다	잃어버린 것에 대한 허전함이나 공허함이 느껴지다.
서럽다	억울하고 슬프다.
서운하다	생각처럼 되지 않아 만족스럽지 못하다.
섭섭하다	서운하고 아쉽다.
속상하다	일이 뜻대로 되지 않아 마음이 편하지 않고 괴롭다.
속앓이하다	속으로 걱정하거나 괴로워하다.
송구하다	공으로 하는 운동 경기에서, 공을 자기편 선수에게 던져 보내다.
숙연하다	고요하고 엄숙하다.
슬퍼하다	눈물이 날 만큼 마음이 아프고 괴롭게 여기다.
실망하다	기대하던 대로 되지 않아 희망을 잃거나 마음이 몹시 상하다.
심각하다	상태나 정도가 매우 심하거나 절박하거나 중대하다.
심란하다	마음이 편안하지 못하고 어지럽다.
심려하다	걱정하거나 염려하다.
싱숭생숭하다	마음이 들떠서 어수선하고 불안정하다.
쓸쓸하다	마음이 외롭고 허전하다.
씁쓸하다	마음에 차지 않거나 불쾌한 느낌이 약간 들면서 기분이 개운하지 않다.
아깝다	소중히 여기는 것을 잃어 서운한 느낌이 있다.
아련하다	기억이나 생각 등이 또렷하지 않고 희미하다.
아쉽다	필요한 것이 없거나 모자라서 만족스럽지 못하다.
안쓰럽다	상대가 딱하거나 가엾게 여겨져 마음이 아프고 애처롭다.
안타깝다	뜻대로 되지 않거나 보기에 가엾고 불쌍해서 가슴이 아프고 답답하다.
암담하다	매우 어둡고 조용하며 쓸쓸하다.
암울하다	매우 어둡고 답답하다.
애끓다	몹시 답답하거나 안타까워 속이 끓다.
애달프다	슬프고 안타깝다.
애도하다	사람의 죽음을 슬퍼하다.
애석하다	슬프고 안타깝다.
애잔하다	가냘프고 약하며 슬픈 느낌이 들다.
애처롭다	불쌍하고 가엾다.
애통하다	슬퍼하고 마음 아파하다.
애틋하다	섭섭하고 안타까워 애가 타는 듯하다.
야속하다	섭섭하고 원망스럽다.
억울하다	잘못한 것도 없이 피해를 입어 속이 상하고 답답하다.
염려하다	앞으로 생길 일에 대해 불안해하고 걱정하다.
외롭다	혼자가 되거나 의지할 데가 없어서 쓸쓸하다.
우울하다	걱정 등으로 마음이 답답하여 활발한 기운이 없다.
울다	슬프거나 아프거나 너무 좋아서 참지 못하고 눈물을 흘리다. 또는 그렇게 눈물을 흘리며 소리를 내다.
울먹이다	곧 울음이 터져 나오려고 하다.
울부짖다	마구 울면서 큰 소리를 내다.
울분하다	화가 나서 속이 끓다.
울적하다	마음이 우울하고 쓸쓸하다.
울컥하다	감정이나 눈물 등이 갑자기 세차게 일어나다.
원통하다	분하고 억울하다.
위축되다	마르거나 시들어서 쪼그라들거나 부피가 작아지게 되다.
유감스럽다	섭섭하거나 불만스러운 느낌이 마음에 남아 있는 듯하다.
음울하다	기분이나 분위기가 어둡고 우울하다.
자책하다	스스로 잘못했다고 생각하여 자신을 꾸짖고 나무라다.
자포자기하다	절망에 빠져서 스스로 자신을 돌보지 않고 모든 일을 포기하다.
적적하다	조용하고 쓸쓸하다.
전전긍긍하다	몹시 무서워하여 벌벌 떨며 조심하다.
절규하다	있는 힘을 다해 매우 간절하고 애타게 부르짖다.
절망하다	바라볼 것이 없게 되어 모든 희망을 버리다.
절박하다	어떤 일이나 때가 가까이 닥쳐서 몹시 급하다.
절실하다	느낌이나 생각이 매우 크고 강하다.
절절매다	애타게 매달리다.
절절하다	매우 간절하다.
좌절되다	마음이나 기운이 꺾이게 되다.
죄송하다	죄를 지은 것처럼 몹시 미안하다.
죄책감 들다	잘못이나 실수에 대한 책임감을 느끼다.
주눅들다	기가 죽거나 위축되다.
짠하다	안타까워 마음이 좋지 않고 아프다.
쩔쩔매다	어려운 일을 당하여 어찌할 바를 모르고 헤매다.
찡하다	감동이나 슬픔 등 강한 감정이 갑자기 밀려와 가슴이나 마음이 먹먹하고 울컥하다.
착잡하다	마음이 복잡하고 어수선하다.
참담하다	끔찍하고 절망적이다.
참혹하다	매우 비참하고 끔찍하다.
참회하다	잘못을 깨닫고 부끄럽게 생각하여 뉘우치다.
창피하다	체면이 깎이는 어떤 일이나 사실 때문에 몹시 부끄럽다.
처량하다	외롭고 쓸쓸하다.
처절하다	몹시 슬프고 끔찍하다.
처참하다	몹시 무서워 떨릴 정도로 슬프고 끔찍하다.
청승맞다	궁상맞고 처량하여 마음에 들지 않거나 보기에 좋지 않다.
초라하다	겉모습이나 옷차림이 보잘것없고 궁상스럽다.
측은하다	가엾고 불쌍하다.
침울하다	걱정이 많아서 마음이 답답하고 무겁다.
침통하다	슬픔이나 걱정 등으로 마음이 몹시 괴롭거나 슬프다.
탄복하다	매우 감탄하여 마음으로 따르다.
탄식하다	슬프거나 힘든 일이 있을 때 심하게 한숨을 쉬다.
통탄하다	매우 가슴 아파하며 탄식하다.
한숨짓다	걱정이나 서러움 등으로 한숨을 쉬다.
한스럽다	몹시 원망스럽고 억울하거나 안타깝고 슬퍼 마음에 응어리가 지는 느낌이 있다.
한탄하다	분하고 억울한 일을 당했을 때나 자신의 잘못을 깨달았을 때 한숨을 쉬며 탄식하다.
허무하다	가치 없고 의미 없게 느껴져 매우 허전하고 쓸쓸하다.
허전하다	주변에 아무것도 없어서 텅 빈 느낌이 있다.
허탈하다	몸의 기운이 빠지고 정신이 멍하다.
후회하다	이전에 자신이 한 일이 잘못임을 깨닫고 스스로 자신의 잘못을 꾸짖다.
휑하다	어떤 것에 대해 매우 잘 알아 매우 환하다.
각성되다	잘못이나 부족함을 깨닫거나 새로운 사실이나 진리를 자각하게 되다.
갈등하다	서로 생각이 달라 부딪치다.
덤덤하다	특별한 감정이나 느낌을 드러내지 않고 보통 때와 같다.
조심스럽다	잘못이나 실수를 하지 않도록 말이나 행동 등에 주의를 하는 태도가 있다.
초연하다	어떤 일에 얽매이지 않고 태연하고 의젓하다.
갑갑하다	몸이나 마음이 꽉 막힌 듯 답답하고 불편하다.
고리타분하다	낡고 진부하며 새로움이나 참신함이 없어 답답하고 지루하다.
귀찮다	싫고 성가시다.
답답하다	숨이 막힐 듯하거나 숨쉬기가 어렵다.
따분하다	재미가 없어 지루하고 답답하다.
떨떠름하다	마음에 내키지 않거나 만족스럽지 않아 개운치 않은 느낌이 들다.
마땅찮다	마음에 들지 않거나 만족스럽지 않다.
맥빠지다	힘이 빠져서 의욕을 잃다.
무료하다	흥미나 의욕이 없어 지루하고 심심하다.
불편하다	이용하기에 편리하지 않다.
서먹하다	익숙하거나 친하지 아니하여 어색하다.
시답잖다	볼품이 없어 만족스럽지 않다.
신통찮다	만족스럽지 못하고 별로 좋지 않다.
싫증나다	지루하거나 흥미를 잃어 싫어지다.
심드렁하다	마음에 들지 않아 관심이 없다.
심심하다	할 일이 없어 재미가 없고 지루하다.
어색하다	잘 모르거나 별로 만나고 싶지 않았던 사람과 마주 대하여 불편하고 자연스럽지 못하다.
재미없다	즐겁고 유쾌한 느낌이 없다.
지겹다	같은 상태나 일이 반복되어 재미가 없고 지루하고 싫다.
지긋지긋하다	진저리가 나도록 몹시 싫고 괴롭다.
지루하다	같은 상태가 계속되어 싫증이 나고 따분하다.
갈증 나다	목이 마르거나 어떤 것을 간절히 원하게 되다.
고단하다	몸이 피로해서 기운이 없다.
고통스럽다	몸이나 마음이 괴롭고 아프다.
골치아프다	생각하거나 해결하기 어려워서 곤란하다.
기진맥진하다	힘을 모두 써서 지쳐 쓰러질 것 같은 상태가 되다.
뼈아프다	주로 후회나 반성 등의 감정이 뼈에 사무칠 정도로 깊다.
아프다	다치거나 병이 생겨 통증이나 괴로움을 느끼다.
지끈거리다	머리나 몸의 일부가 자꾸 쑤시듯 아프다.
가관이다	우스꽝스럽거나 어이없는 광경이다.
가소롭다	비웃고 무시할 만하다.
같잖다	하는 짓이나 모양이 보기 싫고 마음에 들지 않게 밉다.
거북하다	움직임이나 몸의 기능이 자연스럽지 못하거나 불편한 느낌이 있다.
거슬리다	못마땅하거나 마음에 들지 않아 기분이 상하다.
경멸하다	매우 싫어하거나 무시하는 듯한 태도로 낮추어 보다.
경박하다	말이나 행동이 조심스럽지 못하고 가볍다.
고약하다	성격, 행동, 냄새, 맛 등이 매우 나쁘거나 비호감스럽다.
괴상하다	기분이 나쁠 정도로 아주 이상하다.
괴팍하다	사람의 성격이 매우 이상할 정도로 까다롭다.
구역질나다	메스꺼움이나 혐오감을 느끼다.
구질구질하다	상태가 깨끗하지 못하거나 행동이 바르지 못하다.
구차하다	말이나 행동이 떳떳하지 못하고 비굴하다.
꺼림칙하다	마음에 걸려서 언짢고 싫은 느낌이 있다.
꼴불견이다	보기 흉하고 못마땅한 모양새다.
남부끄럽다	창피하여 남을 대하기가 부끄럽다.
넌더리 나다	지긋지긋하고 싫증이 나다.
느글거리다	과하거나 지나친 행동이나 말, 태도로 인해 불쾌감이나 메스꺼운 느낌이 들다.
느끼하다	속이 메스꺼울 정도로 음식에 기름기가 많다.
달갑잖다	마음에 들지 않아 싫고 만족스럽지 않다.
더럽다	물리적으로 깨끗하지 않고 지저분하다. 또는 행위나 태도가 비열하고 추잡하다.
망측하다	상식에서 벗어나서 어이가 없거나 차마 보기가 어렵다.
못미덥다	믿음직스럽지 못하다.
부담스럽다	어떤 일이나 상황이 감당하기 어려운 느낌이 있다.
불쾌하다	어떤 일이 마음에 들지 않아 기분이 좋지 않다.
신물 나다	지겹거나 싫증이 나다.
싫다	마음에 들지 않다.
역겹다	맛이나 냄새 등이 매우 나쁘고 싫어 토할 것처럼 메스껍다.
우습다	재미가 있어 웃을 만하다.
정떨어지다	좋아하던 마음이 없어지고 싫은 마음이 생기다.
지독하다	마음이나 성격이 매우 모질고 독하며 매섭다.
진저리나다	질려서 몸이 떨리다.
징그럽다	보거나 만지기에 소름이 끼칠 정도로 끔찍하고 흉하다.
찜찜하다	마음에 걸려 언짢은 느낌이 있다.
코웃음 치다	비웃거나 조소하는 태도로 웃다.
한심하다	정도에 너무 지나치거나 모자라서 딱하거나 어이없다.
해괴하다	크게 놀랄 정도로 매우 이상하다.
흉측하다	성질이 몹시 악하고 사납다.
갈구하다	무엇을 간절히 바라고 원하다.
갈망하다	간절히 바라다.
감질나다	원하는 정도에 미치지 못해 마음이 초조하고 안타깝다.
궁금하다	무엇이 무척 알고 싶다.
반신반의하다	어느 정도 믿기는 하지만 확실히 믿지 못하고 의심하다.
부러워하다	무엇을 보고 가지고 싶어 하거나 어떤 사람을 보고 그렇게 되고 싶어 하다.
신기하다	믿을 수 없을 정도로 색다르고 이상하다.
신비롭다	보통의 생각으로는 이해할 수 없을 정도로 놀랍고 신기한 느낌이 있다.
아리송하다	그런 것 같기도 하고 아닌 것 같기도 하여 알기가 어렵다.
알쏭달쏭하다	분명하지 않아 이해하기 어렵고 헷갈리며 혼란스럽다.
짜릿하다	강렬하고 순간적인 감정이나 자극으로 인해 흥분되거나 쾌감을 느끼다.
탐나다	자기 것으로 가지고 싶은 마음이 생기다.
학수고대하다	학의 목처럼 목을 길게 빼고 간절하게 기다리다.
흥미롭다	흥미가 있다.
